name-method,f1-score-weighted
AFINN,0.734314958054291
BoW - MNB,0.7473321437426199
BoW - LR,0.7511445105651136
BoW - SVM,0.730269223416279
W2V - MNB,0.6140973761309239
W2V - LR,0.7138453376845229
W2V - SVM,0.7189035953628373
DB-FE - LR,0.7756609811790451
DB-FE - SVM,0.7732948456669153
DB - FT,0.8300862284837045
